age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,native_country,income
53,Private,193720,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,40,United-States,>50K
18,Private,308889,11th,7,Never-married,Adm-clerical,Other-relative,Female,0,0,20,United-States,<=50K
54,Self-emp-not-inc,123011,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,15024,0,52,United-States,>50K
48,Private,49278,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
35,Private,105803,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,United-States,>50K
40,Private,210013,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,United-States,<=50K
31,Self-emp-inc,117963,Doctorate,16,Never-married,Prof-specialty,Own-child,Male,0,0,40,United-States,<=50K
26,Private,485117,Bachelors,13,Never-married,Transport-moving,Own-child,Male,0,0,20,United-States,<=50K
30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,India,>50K
27,Private,196044,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,United-States,<=50K
28,Private,55191,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,45,United-States,<=50K
60,Private,139391,Some-college,10,Married-spouse-absent,Machine-op-inspct,Not-in-family,Male,0,0,50,United-States,>50K
30,Private,181992,Some-college,10,Never-married,Sales,Not-in-family,Female,0,0,35,United-States,<=50K
31,State-gov,176998,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,35,United-States,>50K
64,Self-emp-not-inc,150121,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,25,United-States,>50K
22,Private,109053,12th,8,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,<=50K
31,Private,265706,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,40,United-States,>50K
40,Private,30682,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,45,United-States,>50K
25,Private,189775,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Female,0,0,20,United-States,<=50K
37,Private,262409,Masters,14,Divorced,Exec-managerial,Unmarried,Female,0,213,45,United-States,<=50K
33,Private,58305,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
50,Self-emp-inc,175339,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,1672,60,United-States,<=50K
38,Private,320451,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,?,<=50K
47,Local-gov,247676,Masters,14,Divorced,Prof-specialty,Unmarried,Female,5455,0,45,United-States,<=50K
34,Private,36385,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,2258,50,United-States,<=50K
54,Private,466502,7th-8th,4,Widowed,Other-service,Unmarried,Male,0,0,30,United-States,<=50K
69,Private,182862,HS-grad,9,Never-married,Transport-moving,Not-in-family,Male,15831,0,40,United-States,>50K
43,Private,184018,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,United-States,<=50K
38,Private,22245,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,United-States,>50K
30,Private,381153,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
27,Self-emp-inc,120126,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1887,45,United-States,>50K
33,Federal-gov,428271,HS-grad,9,Divorced,Adm-clerical,Unmarried,Female,0,0,35,United-States,<=50K
55,Private,113912,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,20,United-States,<=50K
41,Private,197344,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,54,United-States,<=50K
45,Private,449354,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,<=50K
43,Self-emp-not-inc,198096,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,60,United-States,<=50K
22,Private,186849,11th,7,Divorced,Sales,Own-child,Male,0,0,50,United-States,<=50K
71,Self-emp-not-inc,130436,1st-4th,2,Divorced,Craft-repair,Not-in-family,Female,0,0,28,United-States,<=50K
46,Federal-gov,167381,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,United-States,>50K
45,Private,102096,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,?,>50K
45,Private,50163,HS-grad,9,Divorced,Other-service,Not-in-family,Female,0,0,30,United-States,<=50K
20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,Female,0,0,40,United-States,<=50K
31,Private,459465,Some-college,10,Never-married,Craft-repair,Not-in-family,Male,0,0,50,United-States,<=50K
20,?,187332,10th,6,Never-married,?,Not-in-family,Female,0,0,30,United-States,<=50K
28,Private,137898,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,United-States,<=50K
34,State-gov,118551,Bachelors,13,Married-civ-spouse,Tech-support,Own-child,Female,5178,0,25,?,>50K
35,Private,224566,Some-college,10,Never-married,Exec-managerial,Not-in-family,Male,0,0,60,United-States,<=50K
38,Private,179668,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,United-States,>50K
17,Private,193199,11th,7,Never-married,Sales,Unmarried,Female,0,0,12,Poland,<=50K
63,Private,114011,HS-grad,9,Separated,Craft-repair,Not-in-family,Female,0,0,20,United-States,<=50K
54,Private,420691,1st-4th,2,Married-civ-spouse,Other-service,Husband,Male,0,0,40,Mexico,<=50K
51,Private,216475,Bachelors,13,Never-married,Sales,Not-in-family,Female,0,1564,43,United-States,>50K
22,Private,228306,Some-college,10,Married-AF-spouse,Other-service,Wife,Female,0,0,40,United-States,>50K
24,Private,258120,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,55,Jamaica,<=50K
37,Private,70240,HS-grad,9,Never-married,Other-service,Own-child,Female,0,0,40,Philippines,<=50K
24,Private,43387,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,England,>50K
32,Private,515629,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,Female,0,0,40,United-States,<=50K
50,Self-emp-not-inc,30653,Masters,14,Married-civ-spouse,Farming-fishing,Husband,Male,2407,0,98,United-States,<=50K
42,Federal-gov,34218,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,7298,0,50,United-States,>50K
47,Private,104521,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
28,Private,250135,HS-grad,9,Never-married,Prof-specialty,Other-relative,Female,0,0,40,United-States,<=50K
52,Private,311931,5th-6th,3,Married-civ-spouse,Sales,Wife,Female,0,0,15,El-Salvador,<=50K
39,Private,286789,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,>50K
51,Private,215854,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Female,0,0,50,United-States,<=50K
33,Private,86492,HS-grad,9,Never-married,Transport-moving,Not-in-family,Male,0,0,87,United-States,<=50K
34,Private,251421,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
40,Private,299813,11th,7,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,37,Dominican-Republic,<=50K
32,Private,127895,Some-college,10,Never-married,Exec-managerial,Unmarried,Female,0,0,35,United-States,<=50K
37,Private,409189,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,United-States,<=50K
19,Private,203319,11th,7,Never-married,Sales,Own-child,Male,0,0,30,United-States,<=50K
40,Private,280362,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,35,United-States,<=50K
28,Private,214689,Bachelors,13,Never-married,Handlers-cleaners,Other-relative,Male,0,0,25,United-States,<=50K
23,Private,189072,Bachelors,13,Never-married,Tech-support,Not-in-family,Female,0,0,45,United-States,<=50K
75,Self-emp-inc,125197,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,26,United-States,<=50K
57,Self-emp-not-inc,24473,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,>50K
27,?,204074,HS-grad,9,Never-married,?,Not-in-family,Male,0,0,40,United-States,<=50K
28,Private,196564,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,United-States,<=50K
40,Private,137142,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,United-States,>50K
46,Private,211226,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,Male,0,0,36,United-States,<=50K
22,Private,119359,Bachelors,13,Never-married,Exec-managerial,Own-child,Female,0,0,40,United-States,<=50K
60,Private,31577,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,60,United-States,>50K
32,Local-gov,206609,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,40,United-States,<=50K
33,Private,188246,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,<=50K
48,Self-emp-not-inc,218835,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,50,England,<=50K
39,Self-emp-not-inc,160120,Doctorate,16,Divorced,Adm-clerical,Other-relative,Male,0,0,40,?,<=50K
44,Private,33105,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,<=50K
21,Private,156980,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Male,0,0,60,United-States,<=50K
31,Private,118399,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
21,Private,60639,Some-college,10,Never-married,Other-service,Not-in-family,Female,0,0,37,United-States,<=50K
32,Private,192039,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,United-States,>50K
31,Self-emp-not-inc,389765,7th-8th,4,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,United-States,<=50K
29,Private,100579,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,United-States,<=50K
26,Private,147821,Bachelors,13,Never-married,Sales,Own-child,Female,0,0,45,?,<=50K
46,Private,117849,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,United-States,>50K
19,Private,28145,HS-grad,9,Never-married,Other-service,Own-child,Female,0,0,52,United-States,<=50K
30,Local-gov,154935,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,Male,0,0,40,United-States,<=50K
59,Self-emp-not-inc,140957,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,Male,0,0,35,United-States,>50K
32,Private,118551,HS-grad,9,Divorced,Other-service,Unmarried,Female,0,0,80,United-States,<=50K
23,Private,112683,Some-college,10,Never-married,Sales,Own-child,Female,0,0,12,United-States,<=50K
67,Private,192670,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,20,United-States,<=50K
26,Private,463194,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
49,Private,274720,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
46,Private,29696,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,>50K
37,Private,105021,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,50,United-States,>50K
83,Self-emp-not-inc,213866,HS-grad,9,Widowed,Exec-managerial,Not-in-family,Male,0,0,8,United-States,<=50K
27,Private,195681,Some-college,10,Never-married,Prof-specialty,Not-in-family,Female,0,0,48,?,<=50K
34,Private,94413,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
24,Private,127647,Some-college,10,Separated,Adm-clerical,Unmarried,Female,0,0,35,United-States,<=50K
64,Local-gov,116620,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,25,United-States,<=50K
32,Private,295589,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,40,United-States,>50K
36,State-gov,36397,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Female,0,0,55,United-States,<=50K
35,Federal-gov,105138,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,55,United-States,<=50K
40,Self-emp-not-inc,170866,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,50,United-States,>50K
27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,40,Mexico,<=50K
35,Private,346766,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Female,0,0,40,United-States,<=50K
49,Self-emp-not-inc,51620,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,United-States,<=50K
27,Private,198258,Bachelors,13,Never-married,Sales,Own-child,Male,0,0,35,United-States,<=50K
34,Private,85355,Bachelors,13,Never-married,Adm-clerical,Own-child,Male,0,0,40,United-States,<=50K
28,Private,47907,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
55,Private,153484,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,50,United-States,>50K
30,Private,154568,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,36,Vietnam,>50K
35,Private,301614,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,60,United-States,<=50K
49,Private,193047,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,United-States,>50K
34,Private,434292,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,30,United-States,<=50K
44,Private,277533,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
38,Private,40319,Some-college,10,Divorced,Exec-managerial,Not-in-family,Female,0,0,42,United-States,<=50K
32,Private,204742,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
28,Private,206125,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
45,Private,183168,Bachelors,13,Divorced,Exec-managerial,Unmarried,Female,0,0,40,United-States,<=50K
37,Private,185744,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,20,United-States,<=50K
62,?,232719,Masters,14,Married-civ-spouse,?,Husband,Male,0,0,50,United-States,<=50K
29,Private,210869,Some-college,10,Never-married,Sales,Own-child,Male,0,0,80,United-States,<=50K
45,Private,327886,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,United-States,>50K
39,State-gov,114055,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,United-States,<=50K
34,?,268127,12th,8,Separated,?,Unmarried,Female,0,0,40,United-States,<=50K
39,Private,343476,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,30,United-States,<=50K
25,Private,124111,Bachelors,13,Never-married,Adm-clerical,Own-child,Female,0,0,40,United-States,<=50K
27,Private,69757,Some-college,10,Never-married,Adm-clerical,Not-in-family,Female,0,0,60,United-States,<=50K
29,Private,164711,Some-college,10,Never-married,Handlers-cleaners,Other-relative,Male,0,0,40,United-States,<=50K
36,State-gov,110964,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,1672,38,United-States,<=50K
58,Private,234481,10th,6,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,<=50K
35,Private,101709,HS-grad,9,Never-married,Transport-moving,Own-child,Male,0,0,60,United-States,<=50K
42,Private,383493,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,United-States,>50K
36,Federal-gov,210945,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,70,United-States,<=50K
28,Private,183639,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,21,United-States,<=50K
28,Private,142264,9th,5,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,50,Dominican-Republic,<=50K
51,Private,191965,HS-grad,9,Widowed,Other-service,Unmarried,Female,0,0,32,United-States,<=50K
29,Private,46442,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,1902,50,United-States,>50K
55,Self-emp-not-inc,95149,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,99,United-States,<=50K
45,Private,358886,12th,8,Married-civ-spouse,Adm-clerical,Husband,Male,2407,0,50,United-States,<=50K
70,?,92593,Some-college,10,Widowed,?,Not-in-family,Female,0,0,25,United-States,<=50K
42,Self-emp-inc,191196,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,60,?,>50K
22,Private,140001,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,United-States,<=50K
22,Private,225156,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
50,Self-emp-not-inc,334273,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,8,United-States,<=50K
19,Private,298891,11th,7,Never-married,Sales,Not-in-family,Female,0,0,40,Honduras,<=50K
39,Local-gov,183620,Some-college,10,Never-married,Protective-serv,Not-in-family,Female,0,0,40,United-States,>50K
32,Self-emp-not-inc,298332,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,United-States,>50K
42,Private,127314,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Male,0,0,45,United-States,>50K
38,Private,161141,Some-college,10,Married-civ-spouse,Tech-support,Husband,Male,0,0,45,United-States,<=50K
35,Private,339772,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
34,Private,362787,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Female,0,0,40,United-States,<=50K
33,Private,132832,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,50,United-States,<=50K
47,Private,208872,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
40,Private,199303,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
55,Private,196126,Bachelors,13,Separated,Craft-repair,Not-in-family,Male,0,0,40,?,<=50K
25,Private,198986,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,United-States,>50K
35,Private,181020,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,60,United-States,<=50K
44,Local-gov,277144,Bachelors,13,Never-married,Prof-specialty,Own-child,Male,0,0,60,United-States,<=50K
21,State-gov,129345,Some-college,10,Never-married,Protective-serv,Not-in-family,Male,0,0,40,United-States,<=50K
32,Private,27856,Some-college,10,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
36,Self-emp-not-inc,37778,Masters,14,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,70,United-States,<=50K
43,Private,125833,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,Vietnam,<=50K
50,Private,40623,Some-college,10,Divorced,Sales,Not-in-family,Female,0,0,40,United-States,<=50K
33,Private,105974,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,41,United-States,<=50K
18,?,91670,Some-college,10,Never-married,?,Own-child,Female,0,0,40,United-States,<=50K
30,Federal-gov,76313,HS-grad,9,Married-civ-spouse,Armed-Forces,Other-relative,Male,0,0,48,United-States,<=50K
52,Private,53497,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
52,Private,226084,HS-grad,9,Widowed,Priv-house-serv,Other-relative,Female,0,0,40,United-States,<=50K
49,Local-gov,298445,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,Female,0,1977,60,United-States,>50K
45,Private,117556,Some-college,10,Divorced,Adm-clerical,Unmarried,Female,0,0,32,United-States,<=50K
41,Local-gov,22155,Masters,14,Divorced,Prof-specialty,Unmarried,Female,0,0,60,United-States,<=50K
24,Private,117583,Bachelors,13,Never-married,Exec-managerial,Own-child,Male,0,0,48,United-States,<=50K
37,Local-gov,117683,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,United-States,<=50K
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,14084,0,50,United-States,>50K
19,?,356717,Some-college,10,Never-married,?,Own-child,Female,0,0,25,United-States,<=50K
38,Local-gov,37931,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,United-States,>50K
21,Private,191460,11th,7,Never-married,Other-service,Unmarried,Female,0,0,40,United-States,<=50K
41,Private,120277,Bachelors,13,Never-married,Craft-repair,Not-in-family,Male,0,0,40,United-States,<=50K
25,Private,298225,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,35,United-States,<=50K
58,Private,172333,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,7688,0,40,United-States,>50K
50,State-gov,116211,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,52,United-States,>50K
36,Private,365739,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,United-States,<=50K
28,Federal-gov,183445,HS-grad,9,Never-married,Exec-managerial,Unmarried,Female,0,0,70,Puerto-Rico,<=50K
51,Local-gov,154891,HS-grad,9,Divorced,Protective-serv,Unmarried,Male,0,0,52,United-States,<=50K
24,Private,48343,11th,7,Never-married,Other-service,Not-in-family,Female,0,0,40,United-States,<=50K
25,Private,231016,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,4650,0,37,United-States,<=50K
30,Private,228406,HS-grad,9,Separated,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
23,Private,57827,Bachelors,13,Never-married,Farming-fishing,Not-in-family,Male,0,0,40,United-States,<=50K
65,Private,180807,HS-grad,9,Separated,Protective-serv,Not-in-family,Male,991,0,20,United-States,<=50K
36,Private,120760,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,China,<=50K
50,Private,27484,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,United-States,>50K
45,Private,189564,Bachelors,13,Married-civ-spouse,Sales,Wife,Female,0,0,42,United-States,>50K
29,Private,391867,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,>50K
47,Private,192776,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,United-States,<=50K
22,Private,355686,Some-college,10,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
43,Private,191547,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,Mexico,<=50K
58,Self-emp-not-inc,105592,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,>50K
31,Private,246439,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,7298,0,50,United-States,>50K
69,Private,130060,HS-grad,9,Separated,Transport-moving,Unmarried,Female,2387,0,40,United-States,<=50K
54,Self-emp-not-inc,32778,HS-grad,9,Married-civ-spouse,Sales,Wife,Female,0,0,30,United-States,<=50K
59,?,160662,HS-grad,9,Married-civ-spouse,?,Husband,Male,2407,0,60,United-States,<=50K
20,Private,184045,Some-college,10,Never-married,Sales,Unmarried,Female,0,0,30,United-States,<=50K
56,Self-emp-inc,109856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,50,United-States,>50K
51,Self-emp-inc,166459,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,<=50K
25,Private,204338,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Mexico,<=50K
38,Private,179668,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,Scotland,<=50K
57,Private,266189,HS-grad,9,Divorced,Adm-clerical,Unmarried,Female,0,0,42,United-States,<=50K
43,Private,323713,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,United-States,<=50K
24,Private,233280,Assoc-acdm,12,Never-married,Sales,Own-child,Female,0,0,37,United-States,<=50K
53,Private,177727,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,United-States,>50K
24,Self-emp-not-inc,172047,Assoc-acdm,12,Never-married,Craft-repair,Own-child,Male,0,0,40,United-States,<=50K
35,Private,45937,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,United-States,<=50K
23,Private,162593,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
55,Private,160362,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,United-States,>50K
24,Private,176580,5th-6th,3,Married-spouse-absent,Farming-fishing,Not-in-family,Male,0,0,40,Mexico,<=50K
23,Private,227594,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,30,United-States,<=50K
30,Private,112358,Bachelors,13,Married-civ-spouse,Other-service,Husband,Male,0,0,60,United-States,>50K
21,Private,164991,HS-grad,9,Divorced,Sales,Unmarried,Female,0,0,38,United-States,<=50K
47,Private,209212,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,56,?,<=50K
44,Federal-gov,239539,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,Philippines,>50K
51,Private,108435,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,47,United-States,>50K
43,Private,265266,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
62,Private,138157,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,12,United-States,<=50K
17,Private,108402,10th,6,Never-married,Sales,Own-child,Female,0,0,20,United-States,<=50K
23,Private,113601,Some-college,10,Never-married,Handlers-cleaners,Own-child,Male,0,0,30,United-States,<=50K
